price,year,make,model,condition,cylinders,fuel,odometer,title_status,transmission,drive,size,type,paint_color,state
20000.0,2018.0,chevrolet,colorado,good,6 cylinders,gas,100000.0,clean,automatic,4wd,full-size,sedan,white,ar
8700.0,2008.0,mercedes-benz,c-class,good,6 cylinders,gas,147583.0,clean,automatic,rwd,full-size,sedan,silver,ar
11988.0,2017.0,toyota,yaris l,good,6 cylinders,other,48098.0,clean,automatic,fwd,full-size,hatchback,silver,ar
15795.0,2013.0,honda,pilot ex l 4dr suv,good,6 cylinders,gas,104986.0,clean,automatic,4wd,full-size,SUV,silver,ar
4950.0,2007.0,ram,f-150,good,6 cylinders,gas,232000.0,clean,automatic,4wd,full-size,sedan,white,ar
36990.0,2016.0,gmc,sierra 2500 hd double cab,good,8 cylinders,gas,23190.0,clean,other,4wd,full-size,pickup,black,ar
7650.0,2014.0,toyota,camry le,good,4 cylinders,gas,151323.0,clean,automatic,fwd,mid-size,sedan,silver,ar
10500.0,2003.0,chevrolet,silverado,fair,8 cylinders,gas,190000.0,clean,automatic,4wd,full-size,truck,black,ar
34590.0,2019.0,acura,mdx sh-awd sport utility,good,6 cylinders,other,27387.0,clean,other,4wd,full-size,SUV,black,ar
28000.0,1987.0,ford,m998 hmmwv,excellent,8 cylinders,diesel,59000.0,lien,automatic,4wd,full-size,truck,white,ar
12590.0,2013.0,ford,Scion xD Hatchback 4D,good,6 cylinders,gas,91825.0,clean,other,fwd,full-size,hatchback,white,ar
36590.0,2018.0,jaguar,e-pace p300 r-dynamic s,good,6 cylinders,other,5837.0,clean,other,4wd,full-size,SUV,black,ar
56687.0,2016.0,gmc,sierra 3500hd,good,6 cylinders,diesel,72297.0,clean,automatic,4wd,full-size,pickup,white,ar
38732.0,2016.0,gmc,sierra 1500,good,6 cylinders,gas,75793.0,clean,automatic,4wd,full-size,pickup,white,ar
17411.0,2018.0,ford,escape,good,6 cylinders,gas,43216.0,clean,automatic,fwd,full-size,sedan,white,ar
39864.0,2017.0,mercedes-benz,glc,good,6 cylinders,gas,36358.0,clean,automatic,4wd,full-size,sedan,white,ar
54995.0,2020.0,gmc,sierra 1500,good,6 cylinders,gas,9226.0,clean,automatic,4wd,full-size,pickup,white,ar
51180.0,2018.0,ram,2500,good,6 cylinders,diesel,19711.0,clean,automatic,rwd,full-size,pickup,white,ar
46500.0,2018.0,dodge,f-150,good,6 cylinders,diesel,48200.0,clean,automatic,4wd,full-size,sedan,silver,ar
24940.0,2019.0,ford,flex,good,6 cylinders,gas,47127.0,clean,automatic,fwd,full-size,sedan,white,ar
21995.0,2001.0,jeep,wrangler,excellent,6 cylinders,gas,60124.0,clean,automatic,4wd,full-size,SUV,white,ar
16900.0,2015.0,gmc,terrain,excellent,4 cylinders,gas,83801.0,clean,automatic,fwd,mid-size,SUV,white,ar
33700.0,2019.0,ram,1500,like new,8 cylinders,gas,68300.0,clean,automatic,rwd,full-size,truck,black,ar
7200.0,2008.0,honda,accord,excellent,4 cylinders,gas,156000.0,clean,automatic,fwd,full-size,sedan,brown,ar
18750.0,2005.0,ford,"GMC, Ford, Freightliner & More",good,6 cylinders,diesel,161087.0,clean,automatic,4wd,full-size,sedan,white,ar
24885.0,2007.0,ram,2500,good,6 cylinders,diesel,207000.0,clean,manual,4wd,full-size,sedan,white,ar
3500.0,1997.0,ford,crown victoria,good,6 cylinders,gas,122000.0,clean,automatic,4wd,full-size,sedan,white,ar
